0,0
0.2,0.0042303
0.4,0
0.6,0
0.8,0
1,0
1.2,0
1.4,0
1.6,0
1.8,0
2,0.0001961
2.2,0
2.4,0
2.6,0
2.8,0.0051111
3,0.028333
3.2,0
3.4,0.027288
3.6,0.013881
3.8,0.027416
4,0.033641
4.2,0.028374
4.4,0.0053688
4.6,0.0028635
4.8,0
5,0
5.2,0
5.4,0
5.6,0
5.8,0
6,0
6.2,0.00081511
6.4,0.013388
6.6,0.00278
6.8,0.014875
7,0
7.2,0
7.4,0
7.6,0
7.8,0
8,0
8.2,0
8.4,0
8.6,0
8.8,0
9,0.0061905
9.2,0
9.4,0.018908
9.6,0.0095117
9.8,0.018167
10,0.01193
10.2,0.019812
10.4,0.037126
10.6,0
10.8,0.019115
11,0.0073151
11.2,0.027758
11.4,0.024397
11.6,0.0091707
11.8,0.050428
12,0.039292
12.2,0.06739
12.4,0.022818
12.6,0.054423
12.8,0
13,0
13.2,0
13.4,0
13.6,0
13.8,0
14,0
14.2,0.0081603
14.4,0.0045311
14.6,0.0039734
14.8,0
15,0.0089132
15.2,0
15.4,0
15.6,0.0080004
15.8,0
16,0.02233
16.2,0.0083714
16.4,0.0062387
16.6,0.013473
16.8,0.01807
17,0.045127
17.2,0.059588
17.4,0.033604
17.6,0.015138
17.8,0.010811
18,0.011783
18.2,0
18.4,0
18.6,0
18.8,0.018702
19,0
19.2,0
19.4,0
19.6,0
19.8,0
20,0
20.2,0
20.4,0
20.6,0
20.8,0.015025
21,0.020467
21.2,0.063617
21.4,0.054981
21.6,0.010242
21.8,0.043141
22,0.015826
22.2,0.0045502
22.4,0.0058566
22.6,0.016133
22.8,0
23,0
23.2,0
23.4,0.02819
23.6,0.0077968
23.8,0.0054897
24,0.013559
24.2,0.019463
24.4,0.028604
24.6,0
24.8,0
25,0
25.2,0.033911
25.4,0.033533
25.6,0.032481
25.8,0.051142
26,0.033902
26.2,0.023199
26.4,0.006144
26.6,0
26.8,0
27,0
27.2,0
27.4,0
27.6,0
27.8,0
28,0
28.2,0
28.4,0
28.6,0.040387
28.8,0.064579
29,0.018006
29.2,0.015133
29.4,0.027505
29.6,0.00685
29.8,0
30,0
30.2,0
30.4,0
